cellId,ÉÏÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÏÂÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÊÇ·ñÎªµÀÂ·Ð¡Çø
460-00-703501-11,87.35534668,1020.973511,·ñ
460-00-703659-12,78.19128418,365.4350586,·ñ
460-00-661520-12,64.05847168,568.2745361,·ñ
460-00-703984-21,477.5079346,4053.217407,·ñ
460-00-703771-13,80.59643555,799.5578613,·ñ
460-00-703507-12,215.7794189,1870.638916,·ñ
460-00-203022-133,528.095459,5088.869385,·ñ
460-00-703855-13,114.5146484,830.3933105,·ñ
460-00-703567-13,91.00866699,1188.602661,·ñ
460-00-661709-12,191.5505371,1394.891357,·ñ
460-00-203089-132,0,0,·ñ
460-00-203063-133,271.7524414,784.8447266,ÊÇ
460-00-703862-11,1.874633789,4.19519043,·ñ
460-00-708520-11,230.5672607,1959.352051,·ñ
460-00-708465-21,46.29919434,180.5168457,·ñ
460-00-661693-11,114.315918,940.5819092,·ñ
460-00-718419-12,264.9987793,2811.676147,·ñ
460-00-661531-11,139.9669189,1059.904419,·ñ
460-00-203215-132,0,0,·ñ
460-00-708524-21,0,0,·ñ
460-00-718503-11,51.4017334,330.888916,·ñ
460-00-718533-13,746.3642578,7104.456055,·ñ
460-00-703614-12,123.1264648,1089.080688,·ñ
460-00-718848-21,1033.68811,5297.639038,·ñ
460-00-708551-13,375.1542969,2959.081665,·ñ
460-00-703739-11,192.8651123,899.2550049,·ñ
460-00-718808-21,22.78503418,160.6706543,·ñ
460-00-661363-12,0,0,·ñ
460-00-703927-12,28.31542969,172.2358398,·ñ
460-00-661410-11,61.09118652,618.2873535,·ñ
460-00-203196-131,0,0,·ñ
460-00-703944-11,24.53540039,457.7542725,·ñ
460-00-703779-13,206.6643066,2474.309937,·ñ
460-00-703635-12,346.1656494,3998.241821,·ñ
460-00-203062-131,84.57202148,953.7868652,·ñ
460-00-703903-11,291.4144287,3044.206665,·ñ
